[16:19:50] [INFO] received Windows console close event; shutting log-core down
[15:52:12] [INFO] received Windows console close event; shutting log-core down
[16:03:00] [INFO] received Windows console close event; shutting log-core down
[16:05:27] [INFO] received Windows console close event; shutting log-core down
[16:10:06] [INFO] received Windows console close event; shutting log-core down
[16:14:47] [INFO] received Windows console close event; shutting log-core down
[16:25:17] [INFO] received Windows console close event; shutting log-core down
[16:26:51] [INFO] received Windows console close event; shutting log-core down
[16:27:09] [INFO] received Windows console close event; shutting log-core down
[16:40:01] [INFO] received Windows console close event; shutting log-core down
[16:41:45] [INFO] received Windows console close event; shutting log-core down
[16:58:54] [INFO] received Windows console close event; shutting log-core down
[17:21:50] [INFO] received Windows console close event; shutting log-core down
